Post #,userid,content,topics,anonymous,blurred
1,wsw36O6X5qNgjddTIFaC,"It’s crazy how young boys are exposed to porn at such a young age. I’m not anti-porn, but I feel like it can’t be good to give pubescent boys an unrealistic idea of how sex should be. Rarely do porn stars ask for consent in an appropriate way, there’s no way those girls are enjoying it THAT MUCH lol and they’re never wearing rubbers. Food for thought.",Film/TV//Porn,1,0
7,wsw36O6X5qNgjddTIFaC,"I am a straight passing white male, who identifies as bisexual. I saw this having had the majority of relationships in my life with women, and only a handful with men — most not very serious. My freshman year of college I started being interested in this boy, who was also interested in me. After winter break we began hooking up but it became clear that we were at different stages in terms of our sexuality. He had been in two serious homosexual relationships and I had never had a relationship that was intimate with a man. I really wanted to be able to explore and communicated this from the get go of the relationship. I wasn’t sure how attracted I was to the male sex, and this was a period of exploration for me. At first the boy seemed to understand, but as we continued seeing each other I felt a looming pressure to progress our relationship sexually. I could tell that my partner was frustrated with how slow I was moving things and moreover by how non-committal I was to the relationship. I saw the relationship as a way to experiment and discover what my true sexual desires were. Growing up in so many heteronormative spaces I felt as though I never took the time to explore that side of me fully. I found that while I was excited about the prospect of uncovering this part of myself, I was more than anything nervous, and so we went almost 2 weeks just hooking up without progressing much otherwise on the sexual front. We spent a lot of time together, and I realized I did like him, but I felt as though there was too much pressure in the relationship to be balancing my interest in someone I liked and my ability to explore in a secure and safe way. I decided that this pressure was not what I wanted in my life and the boy did not take it well at all. I feel sad sometimes because I doubt that I will ever be able to have an opportunity to explore in a way that doesn’t have this pressure.",Sexual Orientation//Hookup Culture//College,1,0
8,wsw36O6X5qNgjddTIFaC,"It took me longer than it should have to realize that it’s possible and somewhat normal to engage in a completely consensual hookup with someone and still walk away from the experience feeling disgusting and used. Sometimes the guy has been at fault for not engaging the way in which I wanted him to (i.e. after going down on him for north of 45 minutes, being told that he “doesn’t like giving girls head” and wouldn’t even finger me), but more often than not, the immense feeling of disgust that sometimes rushes over me during my drive home or on the walk back from my dorm is no one’s fault but my own, and society’s own.",Hookup Culture//Dating Apps//High School,1,0
11,wsw36O6X5qNgjddTIFaC,"I’d highly recommend first times being with someone you know well and are friends with. This isn’t a hard rule obviously because everyone is different, but this my biggest first-time advice because sex is NOT how it’s shown in movies. It is funny and awkward and there are weird noises! It’s just a lot easier to get through that, laugh, and have a good time when it’s with someone you can readily communicate and joke with.",Sexual Pleasure//Advice,1,0
12,FDE8UsLQhc5nJCfKZzsA,"One night sophomore year of college, I left a party with a guy to go back to his dorm. I was pretty drunk but I distinctly remember liking him and wanting to leave with him. He lived in a double, but he told me that his roommate wouldn’t be back for an hour. As we were making out on his bed, I became a bit dizzy and kept disassociating from the experience. We continued to undress, which I was okay with, and eventually we were both naked in his bed. At that point, he pulled away and hopped off the bed. He opened the drawer to my right, quickly closed it, and then jumped back on the bed. He then said, “I don’t have any condoms, so we don’t have to have sex tonight.” I nodded and felt a calming sensation run through me, which I later pinpointed to be relief. We finished hooking up, and then I left to walk home before his roommate returned. I woke up the next morning hungover and feeling a bit weird about my experience the night before. I enjoyed hooking up with him, but in hindsight, I realized I was probably too drunk to have sex, and definitely not lucid enough to give any real indication of consent. Even a year later, I still wonder what would have happened if he did have condoms that night.",Hookup Culture//Alcohol//College,1,0
13,wsw36O6X5qNgjddTIFaC,Idk why this isn’t a thing in sex ed in HS...why don’t schools teach us that peeing after sex is a MUST. Definitely a major sexual health tip that I wish I learned earlier.,Hygiene//High School,1,0
14,wsw36O6X5qNgjddTIFaC,"During my freshman year of college, I downloaded the notorious gay hookup app Grindr. There weren’t any gay guys at my high school, so this was my first real opportunity to experiment with other guys. I wasn’t sure what to expect, but I was kind of just looking to meet other guys my age and casually experiment. However, I was met with a series of unsolicited dick pics, men in their fifties offering money and to meet me at my dorm room, and very specific questions about my kinks, stats, and preferences that I didn’t have the answers to. I was super overwhelmed, but it didn’t feel like I had many other options. One night, when I was feeling really insecure and lonely, I almost met up with a faceless guy many years older than me, something that I was absolutely not prepared for. As many gay guys know, Grindr is often the site of grooming and predation of young (sometimes underage) boys by men much older than them. It just sucks because sometimes it feels like that’s the only option. I often feel like I have to walk the line between having traumatic sexual experiences and closing myself off to sexual relationships entirely.",Dating Apps//Sexual Orientation,1,0
15,7dpJWMdpAbOtEfR8bIe5,"So I made these coupons for my girlfriend for her birthday. One of them was, “let’s try a new sex position”. Naturally, we googled sex positions to try. I think we ended up trying “the pretzel dip” or the “snow angel” lol. These positions were so damn weird it felt like we forgot how to apply the basic concept of putting a dick in a vagina. Rather than fucking like we usually do, it put us both out of our comfort zone. But we both were communicating, and we felt safe together. Long story short, sex is great when both parties are awkward.",Sexual Pleasure//Relationships,1,0
16,FDE8UsLQhc5nJCfKZzsA,"I don’t quite remember if he asked to pull down my pants. Yes the whole experience was consensual, but that particular detail has always eluded my memory. He went down on me, and I wasn’t NOT okay with it. But I also wasn’t psyched. Like maybe I didn’t want to go that far that night. It was the summer after junior year of high school, and I wasn’t very experienced or sure of myself in any sort of sexual context. We had shared a handle of vodka that night and his parents were out of town. We ended up lying in his bed, and as it always goes, we started kissing. I had a crush on him for a while by that point, but I wasn’t very sure what I wanted out of that night. Fast forward a bit and he was unbuttoning my shorts. Again it was consensual, but I don’t remember if I said anything. I honestly don’t even remember what I was thinking at that point. It’s hard to speak your mind when you don’t even know what you want. And maybe I just wanted to want this. But looking back, I’m not sure if I did.",Consent,1,0
20,wsw36O6X5qNgjddTIFaC,"I struggle with body image issues, and tiktok sometimes makes things worse. For one, you’re constantly seeing these beautiful people who blow up on the app just for being conventionally attractive, and it’s hard not to feel shitty when you don’t look like them. On top of that, there are tons of insecurities that are sort of invented by the app, or at least popularized in a way I’ve never seen before. For example, I never used to worry about or even THINK about my side profile before using tiktok. Hip dips, symmetrical faces, back profiles, the “button” nose, non-round faces, are some other examples. Before tiktok I had never even HEARD of a “back profile.” Sometimes I have to delete the app for weeks at a time because my body insecurity becomes too overwhelming.",Body Standards,1,0
23,wsw36O6X5qNgjddTIFaC,"It can sometimes be hard to know that even within the LGBTQ+ community itself, my demisexual identity can go unseen. Most people identify as allosexual (experiencing sexual attraction towards anyone at all) without realizing there’s an alternative. There are many of us on the asexuality spectrum who experience attraction to a much lesser or different extent, or not at all. It’s frustrating to be told by straight and queer people alike that they don’t understand how people could “live without sex.” Well, we aren’t broken. We’re doing just fine refusing to define romantic, sexual and platonic relationships along lines that mainstream society has imposed.",Sexual Orientation,1,0
28,wsw36O6X5qNgjddTIFaC,"Dear reader, I don’t know about you, but when I like someone, I become consumed by sexual daydreams about them. What music (currently “New York City” by Adrienne Lenker), what the room looks like, what positions, etc… Sometimes it even gets to the point where I don’t really know where my reality and the daydream blur and differ from each other. I can recount multiple moments where I’ve become so intensely involved in the daydream that I tell friends of them, almost like they’ve happened. This action of mine has gotten me into some trouble as it definitely raises expectations for events that don’t necessarily exceed them.",Masturbation,1,0
29,wsw36O6X5qNgjddTIFaC,A man once asked me if I had been to a gynecologist while he was fingering me. It made me feel kind of like a patient/someone he was having sex with to examine.,Shame,1,0
